,0,1,2,3,4,5,6,7
natural_phenomenon_or_process,-0.5325878,0.33447945,1.2213247,-0.81132007,-0.22243606,0.27317873,0.18756165,-0.8094618
immunologic_factor,0.34521654,-0.90005195,0.66174066,-0.3675636,0.06893196,1.3667915,1.2772963,0.6564355
receptor,0.23230313,-0.9669326,0.27474612,0.42769086,-0.18827643,1.3234291,1.5573395,0.7063468
self_help_or_relief_organization,-0.8813986,-1.2151518,-0.032419167,-0.7291375,-0.3005829,0.9959223,-0.22136492,1.847053
pharmacologic_substance,0.5200501,-0.7953029,-0.62869114,1.5340555,-0.9435352,1.3009827,1.3369088,0.891325
molecular_function,-0.46464723,1.0411813,-0.29887614,-0.22049287,1.2157589,-1.3238523,0.34723693,-0.6671833
regulation_or_law,-0.18533833,-0.79250985,0.48191863,-0.33473793,0.3064013,-0.8538681,-0.62840015,2.4892542
human,-1.7084538,-0.6598922,-0.93587166,-0.001696623,0.026539098,0.4567885,-0.9403321,0.41316712
eicosanoid,-0.41060966,-0.25235367,-0.5351858,-0.08937914,0.6751709,0.5192236,1.5844126,0.7727021
amino_acid_peptide_or_protein,-0.11539739,-0.59988403,-0.0071338834,0.22951081,-0.08081106,1.2813942,1.3566265,1.3145636
group_attribute,-1.2972097,0.06394341,0.26569527,-1.3702968,0.25826672,-0.45443255,1.7042491,-0.47656935
organism_attribute,0.9317981,-0.12413618,-1.9393158,1.4310042,-1.1039121,0.95721114,-0.20022586,-0.62518245
finding,-0.018276952,0.8732917,-0.085934564,-1.0261426,-0.87420654,-0.13785973,0.20188992,0.43538633
congenital_abnormality,-0.11229393,0.16752408,0.656784,-0.23346055,0.46536937,0.14262226,-1.3991095,0.38309604
anatomical_structure,-2.5565662,-0.9953963,2.0816262,-0.80969834,0.24240339,-2.2750504,0.4358967,2.1815295
molecular_biology_research_technique,-0.565839,1.1722544,-0.55120623,-0.2534655,-0.51107365,-0.5513277,0.40180022,1.6437176
diagnostic_procedure,0.7166555,-0.32102636,0.18535371,0.6954844,-0.27568892,-0.24178232,-0.35129288,0.82403314
biologic_function,-0.36355007,0.55196404,0.34938315,-0.10526509,-0.38318986,0.53424335,-0.5956434,-0.38996467
tissue,-2.1216068,0.32640913,0.05011399,0.83966076,-0.3693961,-1.8604019,0.065321386,1.5292603
hazardous_or_poisonous_substance,0.5987957,-1.6498908,0.6564163,0.37356147,0.09697574,1.5904537,0.9681013,0.9213882
chemical_viewed_functionally,-0.036228165,-0.3526746,0.1438707,0.25250435,-0.10045094,1.5545608,1.0903718,0.92770934
reptile,-1.63606,-1.8445774,0.018354911,0.3484029,0.05055824,-1.7015543,1.5916469,-0.51975644
family_group,-1.1745802,-0.41716745,0.28342444,0.51164025,-0.5051048,0.2494253,1.2364028,-0.50590235
virus,-1.5752405,-1.5448809,-1.4541215,2.726833,-2.5831556,0.91582483,-0.9858125,0.653917
indicator_reagent_or_diagnostic_aid,-0.6419092,0.27469623,-0.55308944,-0.12450099,0.93313754,0.67690784,1.1656069,0.9002823
sign_or_symptom,0.56884485,-0.03156593,-0.05069543,-0.8070625,-0.1462621,-0.5236433,-0.44019753,1.140957
antibiotic,-0.22425327,0.21550061,-0.44173804,-0.56665367,1.067308,1.4511908,0.706402,1.1745834
chemical_viewed_structurally,-0.108154505,-0.10761709,-0.96004844,1.7446424,-1.1938595,1.770721,1.7290858,0.7306752
body_space_or_junction,-1.1266215,0.43070272,-0.31936675,0.7657575,-0.9803008,-1.4272964,0.39579028,1.526331
amphibian,-1.9488539,-1.6733848,-0.49458063,0.42043674,-0.31643474,-0.0049702255,-0.04483848,-0.025546234
health_care_related_organization,-1.5944811,0.09567135,-1.0470787,-0.728895,-0.6051399,0.44892958,0.5417369,0.7273553
fish,-2.1221745,0.1725748,-2.0142858,0.28037542,0.531571,0.08822616,-0.8185604,0.49734995
physiologic_function,0.07655159,-0.12539512,0.75339663,0.52322495,-0.9166703,0.3178634,-0.19116129,-0.5661977
animal,-1.8786355,-1.8640828,0.22850111,-0.10285177,-0.89057845,0.45517483,0.00077153486,0.072210066
injury_or_poisoning,-0.24567677,0.6074525,0.21026388,-1.3692976,1.7440757,-0.42861366,-0.7608302,-0.10732835
lipid,-0.6206285,0.14869443,-0.13465169,-0.66356003,0.33900782,1.9104842,0.3668095,0.8714912
plant,-1.5305429,-1.6457635,0.2772062,-1.013976,0.4880783,-0.08159339,-0.7108799,0.60813576
organization,-1.3789315,-0.18673013,-1.0781627,-0.5027292,-0.061129898,0.2890273,0.39374915,1.1055104
genetic_function,-0.33179006,0.773044,0.19818048,0.121866934,-0.5083881,0.97146684,-1.2414399,-0.2894383
gene_or_genome,-1.8142011,0.67551666,1.6667559,-0.4692791,-1.759041,-0.62205184,1.1598126,0.07162075
laboratory_or_test_result,1.5149002,-1.3229914,0.731879,-0.8095439,-0.18629989,0.12588216,-1.0445253,2.0832186
spatial_concept,-1.6849495,0.5475054,0.5530841,-2.5557632,0.72213376,-0.39293978,-0.8557706,1.3404847
rickettsia_or_chlamydia,-2.0783405,-2.2249846,0.59327126,0.046949223,-0.309299,-0.85757625,0.78902346,-0.23014124
body_substance,-1.3674786,-1.2328033,0.6482249,-0.13672179,-0.30816567,1.3519331,-0.13223381,1.204728
intellectual_product,-1.4594136,-0.14607316,0.69629246,-0.5124458,-0.7497044,-1.6773263,1.3903345,1.8073753
element_ion_or_isotope,-0.99166,0.923256,-0.8766934,0.007646814,-0.287511,2.2637095,0.34229863,1.3964729
research_activity,0.30835155,-0.61907756,1.2194939,-1.2237332,0.70100635,-1.1432077,-0.007995495,2.4318645
geographic_area,-0.22759666,-0.20103857,0.7455768,-2.284068,0.727868,0.6778767,-1.228007,0.8990155
professional_society,-0.39592904,-2.0206633,0.43650627,-0.4608356,-1.2635286,0.89153683,0.0410078,1.3350679
organophosphorus_compound,-0.72889954,1.182293,-1.6993717,0.42261153,0.110246055,2.3883743,-0.07325609,1.6156443
body_location_or_region,-1.724975,0.27980846,0.44345188,-0.47436365,-1.4457532,-0.17051741,-0.780311,2.0337217
invertebrate,-1.2397594,-2.1180449,-0.5027225,0.428451,-0.55826026,0.59041184,-1.0568506,0.86105686
age_group,-1.0849936,-0.72924364,0.34136724,-0.013382692,0.27763814,0.800411,0.19936143,0.06551566
human_caused_phenomenon_or_process,-0.47863543,1.1450845,-0.64753675,-0.20341699,0.05042588,-0.09361442,-0.32101533,-0.20081739
phenomenon_or_process,0.0497855,-0.20677325,1.3003323,-1.1087893,0.1503152,0.6463264,-1.0378085,0.11377998
individual_behavior,-0.24333519,0.33659518,0.7720235,-1.2239859,0.6188329,-0.7047687,-0.5074296,0.96371984
bird,-1.7792646,-1.9060979,0.34811583,0.117476024,-1.2606386,0.7879897,-0.14235234,0.06464556
mammal,-2.143572,0.06542739,-0.95214343,-0.28867146,0.07306909,0.91333914,-1.4149103,0.5717532
qualitative_concept,0.12562928,-1.5473133,0.03797192,0.46868175,-0.038730692,-0.9159369,0.33250782,1.3934724
environmental_effect_of_humans,0.11624432,0.22198455,-0.032345265,0.060860075,-0.13589817,0.37278268,-0.81905717,0.27594897
social_behavior,0.1817166,-0.54450256,0.20142256,1.571015,-1.5454922,-1.240444,0.89520454,0.6233521
biomedical_or_dental_material,-0.23747545,-0.08644674,-1.1407052,0.5885412,1.2538391,-0.57366794,2.180849,1.1851382
quantitative_concept,-0.88212186,-0.410443,-0.41927597,-0.23199551,0.83930093,0.2388533,-0.5770252,1.3872516
inorganic_chemical,-0.6277813,0.23538545,-1.0314488,0.38227043,0.5064391,0.3634133,2.0514119,0.46862406
drug_delivery_device,-1.2015622,-0.21442825,0.11968325,-0.9634687,0.5534,-0.97432816,1.0227703,3.7123425
educational_activity,-0.021458194,-0.38159996,0.32237616,-0.04266674,-1.9934454,0.68830365,-0.39716518,2.0748487
chemical,-0.104400925,-0.36348885,-1.4266411,1.2363665,0.5435844,0.6900458,1.2282301,1.6143817
vitamin,-0.449545,1.0883944,-2.3489542,2.3066516,-0.78633094,1.0960652,2.2229583,0.22144084
fully_formed_anatomical_structure,-3.0760992,0.9319202,0.3395909,-0.77996135,-0.17856613,-2.283551,-0.10574273,2.117261
group,-2.0719938,1.2088081,-0.44676745,-0.61610204,0.5890915,1.2290837,-0.41297808,0.005892182
nucleotide_sequence,-1.1157258,-0.9756911,1.3154162,-0.59788626,-1.0198184,-0.4175386,1.097825,0.44459796
body_system,-1.5476521,-0.32198328,0.4545811,0.039138086,-2.3255575,-0.0769759,0.66633147,1.2501997
food,-0.87595606,0.2878471,-0.64275855,0.69001603,0.49715614,-0.37587914,0.8134117,2.3674855
bacterium,-2.0990531,-1.2562144,-0.48505256,0.65188676,-0.5067998,-0.3388022,0.28962496,0.10588525
fungus,-1.2294718,-1.7724159,-0.90443265,-0.013270863,1.356287,-1.4903128,-0.16392824,0.8004132
research_device,-1.3095316,-0.60956913,0.072799176,-0.31857207,-0.09551544,-1.4470332,0.5861804,2.4637146
governmental_or_regulatory_activity,-0.04420074,-0.044873856,-0.50606596,0.156642,-0.97853285,-0.52216977,0.08103165,2.232759
idea_or_concept,-0.8814659,-0.5172328,-0.2500197,0.1615466,-1.1893673,-0.8025996,0.6458063,0.9076073
occupational_activity,-0.7447931,1.1391399,-0.78827286,-0.81064045,0.0010621715,-0.334664,-0.50540304,2.3782504
physical_object,-1.9235364,-0.6300198,-0.8046577,-0.249392,-0.22608662,-1.3713268,0.90047985,0.68336064
vertebrate,-1.3429837,-2.3764713,0.010776481,0.8235232,-2.2241092,1.4910091,-0.63209844,0.35096717
substance,-1.2449135,-1.849999,0.7559839,-0.8350791,-0.44033793,1.2426552,0.47076464,1.4630144
medical_device,-0.6662954,-0.74870235,-0.047542587,0.03608469,-0.4463381,-0.25385702,0.788654,3.5917652
manufactured_object,-2.4261377,0.51236004,-0.57947314,-1.3779334,0.37729794,-1.1595988,1.4212377,1.7806118
classification,-2.7963529,1.3529326,0.0398782,-1.8937885,-0.18046913,0.13713107,-1.127976,2.5567036
daily_or_recreational_activity,-0.06032546,-0.3594064,-0.551024,-0.34349915,-0.49292898,-0.7852131,-0.5665333,2.7351646
conceptual_entity,-1.241774,-1.5786368,-0.47797364,-0.3903129,-0.18526395,-0.82377976,-0.20281124,1.6110836
occupation_or_discipline,-1.7671125,1.0874954,-0.10675905,-1.6511394,0.898686,0.4090535,0.19989412,-0.55463314
amino_acid_sequence,-0.74324393,-0.8296686,-0.79058707,0.70193696,-0.58252466,-0.7772844,-1.0313011,3.3647354
clinical_drug,-1.812582,-0.5495841,1.2171665,-1.8411853,-1.2701507,0.6042831,0.2612638,2.0319142
activity,-1.9061872,0.28460413,0.34131435,-0.18197367,-2.119551,-0.6844533,0.83648473,2.5535471
event,-1.2277337,-1.2700902,-0.35364723,1.7774113,-1.4529947,-1.2633125,-0.13081294,4.1553597
temporal_concept,-0.9336323,0.69588196,-2.7695706,1.6106853,1.7893114,-1.5785407,0.38846815,0.7869485
archaeon,-1.4638697,-0.9516557,-1.6592659,1.201952,-0.37208802,-0.22381726,0.06816354,0.22937618
language,-1.3184519,-1.226211,0.72470367,-0.0017071324,-0.383322,-1.5044323,1.1299587,2.1691508
biomedical_occupation_or_discipline,-1.316148,0.26436585,-0.8669859,0.29067257,-0.05883639,-0.26898915,1.108869,-0.75964034
functional_concept,-0.14927146,-1.7731667,-0.62160796,0.82771903,0.18964532,-2.838837,0.9566604,1.6950375
machine_activity,-0.73304784,-0.5584756,0.058537196,0.09119499,-1.0468868,-0.22547194,-0.30537406,2.7774599
entity,-0.7150133,-1.6538281,-1.2941175,0.19726485,0.5487294,-2.0597787,0.23345767,1.404176
carbohydrate_sequence,-2.176775,0.20109697,0.3576879,-1.5984458,0.5842997,-0.91567206,-0.15703453,2.236519
organism,-1.2881432,-1.0320597,-0.95225495,-0.5435528,1.2863065,-0.4337913,-1.0570999,0.7190163
