,0,1,2,3,4,5
reptile,-1.1115516,1.171506,0.90370065,2.7032502,1.4892522,2.2640333
family_group,-1.8334363,0.09948999,-0.4465756,1.4545033,1.6391132,1.4014835
virus,-0.6194102,0.6662807,1.056571,1.9811932,1.2785898,1.6188786
indicator_reagent_or_diagnostic_aid,-1.8088827,3.4339578,1.5419977,-0.015686672,0.42563197,0.98291725
sign_or_symptom,0.57951856,-1.7962036,-0.32565597,-0.8475629,-0.3728359,0.42750257
antibiotic,-1.8790466,1.306995,3.5964153,1.4395155,0.35931697,-0.2944481
chemical_viewed_structurally,-2.1308992,2.9128518,1.2810628,3.1346655,0.008681364,-0.52659976
body_space_or_junction,-0.66355455,-1.3253633,1.1075917,-0.8908865,0.44386077,1.8313357
amphibian,-1.2335074,1.062289,1.5561603,1.981911,0.26386225,2.0542846
health_care_related_organization,-1.852949,0.578961,0.64184916,0.07031672,0.065597855,0.023836412
fish,-0.8874051,1.2684954,0.17248754,3.1254413,1.4573598,0.96615773
physiologic_function,1.4530883,1.5987349,-2.3505065,-0.38925472,-1.9661134,0.54377824
animal,-1.2389024,1.409721,1.0915451,2.9876904,1.7693768,2.2530277
injury_or_poisoning,0.6890412,2.8531125,-1.9282714,-1.50727,-0.40010643,-1.142828
lipid,-1.8805509,2.6520877,1.4573088,2.1260867,0.13473584,0.5269531
plant,-0.5032581,-0.1375034,0.6848628,2.95094,1.545719,1.199972
organization,-1.8973359,0.74325454,-0.18507323,-0.31580013,0.6837379,0.044574197
genetic_function,1.4069375,1.0239964,-1.3001835,0.046206754,-3.0982602,0.55903053
gene_or_genome,0.2217009,-1.3514041,1.0057719,-0.029071594,-0.6171495,0.79758066
laboratory_or_test_result,-0.50956523,-2.0906763,1.842953,-0.6075338,-0.9335512,0.32825494
spatial_concept,-1.5208925,0.15944389,-1.9735065,2.3497167,1.3686765,0.927914
rickettsia_or_chlamydia,-0.25980163,0.6211961,1.7668166,2.1492963,0.27360302,0.8871623
body_substance,-0.9014421,1.1270858,1.2630461,2.8022015,-0.08396882,0.8408182
intellectual_product,-2.1249144,-0.39370498,-0.740194,2.1801298,0.8866636,2.1489477
element_ion_or_isotope,-2.1255696,3.0818558,2.2496033,1.4535211,-0.7714506,-0.09662227
research_activity,0.48894683,-3.2657266,-0.8865748,0.14922653,1.1303291,2.5248199
geographic_area,-0.13072322,-3.2897577,0.36181018,1.2209314,-0.4303987,4.6084075
professional_society,-2.2249882,1.1436166,0.9781884,-1.4950753,-0.36708128,0.39423388
organophosphorus_compound,-2.0793233,3.3417964,1.5728618,1.5940706,0.15085067,0.47346947
body_location_or_region,-0.81293315,-1.3701888,1.4812726,-0.24724457,-0.3752323,2.0976753
invertebrate,-1.1603048,1.1740999,1.1750029,3.3221467,1.0249676,0.9642551
age_group,-1.8450954,-0.2687379,-0.018818103,-0.08238647,1.8190941,2.9154947
human_caused_phenomenon_or_process,0.4777942,-0.2378875,-1.6262352,2.112013,-2.333864,1.9643157
phenomenon_or_process,0.84253424,-0.25187632,-1.7742465,2.4643102,-2.1843255,1.779685
individual_behavior,0.054919157,-0.66397053,-1.5595849,0.7674752,0.40166563,0.16218457
bird,-1.2952795,1.8717027,1.5305709,1.5475478,0.84237766,2.091495
mammal,-1.0102878,0.4488488,1.2015518,2.3245916,1.3267225,2.4690526
qualitative_concept,-1.7024808,0.06634003,1.1513709,-1.2325015,-1.5867565,0.7309938
environmental_effect_of_humans,0.80307627,-0.025867926,-2.6324048,1.5642625,-0.9654212,1.8360784
social_behavior,-0.68948716,0.71793175,-0.5670821,-1.1171237,-0.0664067,0.12481966
biomedical_or_dental_material,-2.1467686,2.96281,1.9786853,1.7619356,-0.67434144,-0.6485587
quantitative_concept,-0.6755811,-0.91049254,0.5090937,1.6557494,0.30801177,2.6895995
inorganic_chemical,-1.6541425,3.2348762,0.5497453,2.0908592,1.061878,-0.2587713
drug_delivery_device,-2.2944107,1.1814718,1.9830881,0.41730794,1.2120851,0.07021722
educational_activity,0.29967973,-2.797627,-1.6504065,0.80748856,-1.3620983,3.2485726
chemical,-1.8284578,3.0241125,1.0756247,0.15500137,1.8219633,2.1996639
vitamin,-1.5951729,2.127655,1.4728667,1.4828258,1.8872309,-0.08228549
fully_formed_anatomical_structure,-0.13755028,-2.29775,1.1688644,0.15045984,-0.67587644,1.5579071
group,-1.7826568,-0.5509548,0.3857722,3.1796262,1.2293992,1.4419307
nucleotide_sequence,-1.1681235,0.022746379,-0.26934302,1.4907689,-0.41726062,3.0157938
body_system,-1.3824687,-0.75329435,-1.4544964,3.1625354,0.80840915,1.9262036
food,-2.2295496,3.3524206,1.0440489,1.4720348,-0.36989507,-0.77440786
bacterium,-0.387081,0.796237,1.7498331,0.9802095,-0.26845405,1.1565229
fungus,-0.40331635,1.6178998,1.6364866,-0.8256321,0.6950854,2.7959607
research_device,-2.7256343,2.2054164,0.818221,-0.6978432,1.2127624,2.3319626
governmental_or_regulatory_activity,0.31445158,-2.1781514,-0.7691569,0.10701445,-1.5038968,4.0561647
idea_or_concept,-1.479812,-0.75709516,-0.5555465,2.3183887,0.2892743,2.0786955
occupational_activity,0.15839188,-2.077022,-0.17676555,0.55595034,-1.9914634,2.7566457
physical_object,-1.5065118,-0.058504276,-0.2687407,1.2830023,2.9141905,4.3709307
vertebrate,-1.1110046,1.5552421,0.16670778,3.1006355,2.289102,1.2352993
substance,-2.047621,0.6814311,1.1147757,2.717686,2.1743226,2.492676
medical_device,-2.050702,1.1960739,1.2601278,-0.06573065,1.8267916,0.30002907
manufactured_object,-2.6716583,1.2554862,1.1524353,2.5200772,0.19928932,-0.38956815
classification,-1.7688161,-0.14311099,-0.31174883,1.6940875,1.1097759,2.8938017
daily_or_recreational_activity,-0.50586385,-2.5868597,0.64264184,1.039883,-1.2670233,3.69115
conceptual_entity,-1.8800329,-0.1971589,0.64501685,1.2506336,-1.1231769,2.0061452
occupation_or_discipline,-0.44596988,0.8437379,-0.4896899,1.9245348,-1.1066831,-0.9967571
amino_acid_sequence,-1.5217141,-0.5952877,-1.0100143,-0.05635464,2.3019702,1.9908897
clinical_drug,-2.3450193,1.1342174,0.3430335,0.96242243,1.3026359,2.3310769
activity,-0.9547246,0.19225642,-1.7812883,0.7047187,-0.046113383,2.2177742
event,-0.85872895,1.6115869,0.011571544,0.5361192,-1.5358257,0.8605172
temporal_concept,-0.93378013,0.5032055,-0.9141365,0.823356,-0.22576785,0.82250535
archaeon,-1.6580938,2.0407815,1.2220694,1.2549837,1.3478854,1.5220275
language,-1.6442772,0.008096414,-0.122310445,1.6824952,0.33517128,1.2515771
biomedical_occupation_or_discipline,-0.52962184,0.475064,-0.5838631,0.99321336,-0.92304504,-0.24690749
functional_concept,-1.4562964,-0.62522936,-0.3092992,1.4449728,-0.43085608,1.8933512
machine_activity,-1.4327941,-0.084267534,-0.3210932,-0.1172402,-0.47738233,1.478414
entity,-1.4818016,-0.44404238,-0.6566847,1.3029174,2.3012605,3.597708
carbohydrate_sequence,-1.722703,-0.18587758,-1.2156861,1.2428833,0.5654864,2.3830059
organism,-1.3364097,1.1628462,1.7936739,0.65593356,1.3417219,4.0867863
